combined_contraction,acc_y_derivative,elbow_angle,state
1.0, -1.7962547540664673, 6.391870975494385, 'flexion_heavy_vertical'
1.0, -2.113349437713623, 6.578516006469727, 'flexion_heavy_vertical'
1.0, -1.8917948007583618, 6.793990612030029, 'flexion_heavy_vertical'
1.0, -2.081390380859375, 7.04586124420166, 'flexion_heavy_vertical'
1.0, -1.9526704549789429, 7.342833042144775, 'flexion_heavy_vertical'
1.0, -2.208024024963379, 7.656027317047119, 'flexion_heavy_vertical'
1.0, -1.8412318229675293, 8.001169204711914, 'flexion_heavy_vertical'
1.0, -2.137967348098755, 8.344406127929688, 'flexion_heavy_vertical'
1.0, -2.303528308868408, 8.69371509552002, 'flexion_heavy_vertical'
1.0, -2.5120723247528076, 9.031965255737305, 'flexion_heavy_vertical'
1.0, -2.9688475131988525, 9.36454963684082, 'flexion_heavy_vertical'
